date,equity
2022-08-23,100000.0
2022-08-24,101232.75660088214
2022-08-25,102839.9555556062
2022-08-26,99174.78987285779
2022-08-29,100754.99148850955
2022-08-30,97910.6867247156
2022-08-31,96174.15782456912
2022-09-01,93913.71725618457
2022-09-02,93773.23186476756
2022-09-06,93011.2821653657
2022-09-07,94995.29691298533
2022-09-08,95711.25646100116
2022-09-09,97250.08227429462
2022-09-12,99092.78809247089
2022-09-13,93249.24407449627
2022-09-14,96428.92312112713
2022-09-15,91861.326274458
2022-09-16,88887.0679902761
2022-09-19,89062.01439335266
2022-09-20,88071.13102390686
2022-09-21,87117.6042161488
2022-09-22,86832.0636430287
2022-09-23,86832.0636430287
2022-09-26,86832.0636430287
2022-09-27,86832.0636430287
2022-09-28,86832.0636430287
2022-09-29,86244.89570687337
2022-09-30,85311.58767769857
2022-10-03,84853.1707846932
2022-10-04,85971.27699730916
2022-10-05,86269.77022240682
2022-10-06,87765.98290311279
2022-10-07,86778.91376553955
2022-10-10,84998.08653990031
2022-10-11,85605.83970991374
2022-10-12,85226.96471372843
2022-10-13,89849.81347624064
2022-10-14,87718.4710423112
2022-10-17,89318.05267805306
2022-10-18,89411.64195487613
2022-10-19,89632.27449653263
2022-10-20,89284.03492972965
2022-10-21,93186.17856452579
2022-10-24,95999.05651328678
2022-10-25,95509.66610953922
2022-10-26,98948.5061173212
2022-10-27,99114.21758124942
2022-10-28,101225.40182964933
2022-10-31,100812.50459207915
2022-11-01,100902.67373388504
2022-11-02,98837.65740698074
2022-11-03,101455.97497340798
2022-11-04,102440.70019313454
2022-11-07,104739.4360010922
2022-11-08,105810.47283837177
2022-11-09,101622.7998037038
2022-11-10,105881.14910790302
2022-11-11,106058.36297509052
2022-11-14,106029.95440575459
2022-11-15,107109.49560448506
2022-11-16,105227.88952538349
2022-11-17,106499.59704491474
2022-11-18,106501.79443261006
2022-11-21,105247.71876924802
2022-11-22,106523.60045259763
2022-11-23,108598.0667284343
2022-11-25,108768.31923087571
2022-11-28,107207.80815299487
2022-11-29,107040.14011050812
2022-11-30,109460.83964969269
2022-12-01,110468.34570002816
2022-12-02,112883.51424467581
2022-12-05,109683.18196928519
2022-12-06,106807.10903227347
2022-12-07,107781.54552519339
2022-12-08,108885.85770475882
2022-12-09,105690.98819792288
2022-12-12,108915.51186430472
2022-12-13,108283.62591733661
2022-12-14,107986.60041990009
2022-12-15,102586.83659520898
2022-12-16,102332.4371885364
2022-12-19,102247.02742901491
2022-12-20,102511.2997678821
2022-12-21,106719.59726849245
2022-12-22,103907.44732037233
2022-12-23,105272.18920269655
2022-12-27,106331.52552166628
2022-12-28,104143.56020489382
2022-12-29,105182.09755840944
2022-12-30,104367.05454388307
2023-01-03,105222.20508709596
2023-01-04,107772.02931941216
2023-01-05,106658.20522654717
2023-01-06,108877.42048713361
2023-01-09,104064.58077518774
2023-01-10,102780.16950574878
2023-01-11,103195.50613701998
2023-01-12,103720.50938724175
2023-01-13,105573.01909946099
2023-01-17,102152.46647480223
2023-01-18,98158.67452889323
2023-01-19,95705.88379982751
2023-01-20,98139.31152150349
2023-01-23,100354.10886189656
2023-01-24,101205.23808095173
2023-01-25,101067.77636525349
2023-01-26,103931.1128444405
2023-01-27,102192.09229085164
2023-01-30,99130.94032857136
2023-01-31,99523.8622749035
2023-02-01,100405.63706168295
2023-02-02,101876.2886691964
2023-02-03,99307.07030114709
2023-02-06,96575.84671029627
2023-02-07,96976.72745139494
2023-02-08,93116.6888009621
2023-02-09,92374.80570453376
2023-02-10,91180.75442350934
2023-02-13,94241.5883277757
2023-02-14,94548.41626585553
2023-02-15,95662.77892912457
2023-02-16,92746.87145842145
2023-02-17,92238.84678114484
2023-02-21,89236.43496920663
2023-02-22,88680.32930574642
2023-02-23,86504.33952861265
2023-02-24,87489.36827077983
2023-02-27,87539.33342020932
2023-02-28,88262.16192667905
2023-03-01,87578.20243876401
2023-03-02,88746.72047465268
2023-03-03,92375.53839688454
2023-03-06,91655.93115972512
2023-03-07,88993.1196668052
2023-03-08,90748.20888494485
2023-03-09,90400.01895590845
2023-03-10,88273.343514072
2023-03-13,89240.05744969995
2023-03-14,91918.72388983275
2023-03-15,92863.94884695183
2023-03-16,95200.17792715202
2023-03-17,92877.95186819206
2023-03-20,97140.68836416374
