date,equity
2022-08-23,100000.0
2022-08-24,100000.0
2022-08-25,100000.0
2022-08-26,100000.0
2022-08-29,100000.0
2022-08-30,98935.79439365608
2022-08-31,98001.20773527121
2022-09-01,98001.20773527121
2022-09-02,98001.20773527121
2022-09-06,98001.20773527121
2022-09-07,98001.20773527121
2022-09-08,98001.20773527121
2022-09-09,98001.20773527121
2022-09-12,98001.20773527121
2022-09-13,98001.20773527121
2022-09-14,98001.20773527121
2022-09-15,98167.07069810202
2022-09-16,97207.44215043356
2022-09-19,96043.9715999274
2022-09-20,96043.9715999274
2022-09-21,96043.9715999274
2022-09-22,96043.9715999274
2022-09-23,96043.9715999274
2022-09-26,96043.9715999274
2022-09-27,96043.9715999274
2022-09-28,96043.9715999274
2022-09-29,96043.9715999274
2022-09-30,96043.9715999274
2022-10-03,96043.9715999274
2022-10-04,96043.9715999274
2022-10-05,96043.9715999274
2022-10-06,97270.55933661455
2022-10-07,96918.64774603838
2022-10-10,96170.39125342363
2022-10-11,95883.3861340999
2022-10-12,96030.30334753984
2022-10-13,97205.64991278642
2022-10-14,96289.97352118486
2022-10-17,96778.56279273027
2022-10-18,96840.05903906816
2022-10-19,98094.1975759899
2022-10-20,97852.46862548942
2022-10-21,99286.06242889518
2022-10-24,99720.4325231945
2022-10-25,100290.03975273373
2022-10-26,100920.27880455258
2022-10-27,102211.16841484311
2022-10-28,105086.67529048899
2022-10-31,105334.90405753502
2022-11-01,104612.0090074862
2022-11-02,103521.9201402987
2022-11-03,104846.00207999596
2022-11-04,104771.44135001549
2022-11-07,106038.9736986483
2022-11-08,107184.61008170494
2022-11-09,105279.85745719323
2022-11-10,107315.11691764244
2022-11-11,103304.02786734948
2022-11-14,103184.08649161705
2022-11-15,104132.94827750573
2022-11-16,103966.23139368871
2022-11-17,104998.15525233129
2022-11-18,106047.63689600804
2022-11-21,106409.63342081883
2022-11-22,106871.23793589452
2022-11-23,109004.07314032265
2022-11-25,109174.66392630288
2022-11-28,109290.14086264321
2022-11-29,109148.42088049599
2022-11-30,109004.07314032265
2022-12-01,109527.46827568201
2022-12-02,109659.40482582239
2022-12-05,108952.74512352137
2022-12-06,107956.36978019861
2022-12-07,107758.52252449183
2022-12-08,107784.8437105575
2022-12-09,106151.27514518885
2022-12-12,106906.30928672937
2022-12-13,105701.05686730487
2022-12-14,105747.71228934977
2022-12-15,103046.0967612431
2022-12-16,101520.73500549135
2022-12-19,100917.38725967753
2022-12-20,100917.38725967753
2022-12-21,100917.38725967753
2022-12-22,100917.38725967753
2022-12-23,100917.38725967753
2022-12-27,100917.38725967753
2022-12-28,100917.38725967753
2022-12-29,100917.38725967753
2022-12-30,100917.38725967753
2023-01-03,100917.38725967753
2023-01-04,100917.38725967753
2023-01-05,100753.96654869664
2023-01-06,102675.39534355748
2023-01-09,97348.16529265235
2023-01-10,98508.67301615715
2023-01-11,99233.79597066347
2023-01-12,99997.17737935488
2023-01-13,99121.96580934759
2023-01-17,93617.87136930983
2023-01-18,94397.60198064198
2023-01-19,93209.35924382557
2023-01-20,95863.2802338158
2023-01-23,96932.94200749745
2023-01-24,95841.67292872125
2023-01-25,96094.84136223038
2023-01-26,96787.59372734268
2023-01-27,98073.89289879044
2023-01-30,96380.98830436905
2023-01-31,97533.62778495987
2023-02-01,100347.0092679993
2023-02-02,100804.89647121585
2023-02-03,97228.81666011964
2023-02-06,95711.39237041627
2023-02-07,96917.6166593567
2023-02-08,95216.86211223758
2023-02-09,94996.91029186404
2023-02-10,94411.79628963626
2023-02-13,94706.02360363162
2023-02-14,95035.28910274661
2023-02-15,95314.01234264529
2023-02-16,93291.92211742557
2023-02-17,92874.81691951907
2023-02-21,90365.41333540277
2023-02-22,90245.3212295373
2023-02-23,90556.27370222406
2023-02-24,90232.34228955767
2023-02-27,90473.24251996538
2023-02-28,89895.48643933794
2023-03-01,89624.39785825273
2023-03-02,90618.24856626055
2023-03-03,91207.58421765825
2023-03-06,91086.08689176104
2023-03-07,90232.70909177324
2023-03-08,90787.2448239494
2023-03-09,90036.33896686322
2023-03-10,89561.60498477703
2023-03-13,89562.61250354534
2023-03-14,90668.3113751579
2023-03-15,90823.14082811157
2023-03-16,93395.4743547229
2023-03-17,92629.79988541364
2023-03-20,93383.55061402083
2023-03-21,92635.82294423814
2023-03-22,90891.60389287706
2023-03-23,93418.03244741197
2023-03-24,92675.60895879503
2023-03-27,92180.28162725206
2023-03-28,91292.3352771544
2023-03-29,93641.90520055528
2023-03-30,94928.08749349351
2023-03-31,96945.80554700861
2023-04-03,96384.35686231623
2023-04-04,93746.19207120905
2023-04-05,91755.71569144248
2023-04-06,89483.13039433875
2023-04-10,90038.50565373816
2023-04-11,89476.72087514319
2023-04-12,87995.85110890784
2023-04-13,89460.6914180509
2023-04-14,89239.85738789954
2023-04-17,89227.44061559002
2023-04-18,89266.26912968914
2023-04-19,86994.8586000525
2023-04-20,86987.54927388062
2023-04-21,87432.15256553366
2023-04-24,87894.78042879979
2023-04-25,83957.34408465306
2023-04-26,81503.12090578953
2023-04-27,81846.01877354943
2023-04-28,82185.7896522364
2023-05-01,82739.3048754384
2023-05-02,80019.79561856353
2023-05-03,79275.20528385328
2023-05-04,78542.9565198152
2023-05-05,82984.43826648877
2023-05-08,83604.17103714666
2023-05-09,82246.1923193427
2023-05-10,83404.5791944953
2023-05-11,83674.32417816839
2023-05-12,83280.54620117864
2023-05-15,82173.84880203924
2023-05-16,81213.96219010076
2023-05-17,82062.19879935305
2023-05-18,87091.60045367874
2023-05-19,86108.21295638893
2023-05-22,84533.5125321946
2023-05-23,81917.8508348069
2023-05-24,80420.32891986513
2023-05-25,82672.4394557806
2023-05-26,83374.45404318294
2023-05-30,83197.60374334773
2023-05-31,83286.02814367732
2023-06-01,83596.49850347957
2023-06-02,83491.96095922908
2023-06-05,82528.2422189558
2023-06-06,81529.57593305383
2023-06-07,81988.99498136315
2023-06-08,82467.93465094031
2023-06-09,82967.17715506018
2023-06-12,83712.6882977909
2023-06-13,84167.46903246045
2023-06-14,81332.90550544253
2023-06-15,83019.3465378522
2023-06-16,83252.35232856264
2023-06-20,79658.84617876096
2023-06-21,80185.53464769406
2023-06-22,78675.05412132504
2023-06-23,77785.64418632748
2023-06-26,78169.35921318295
2023-06-27,78969.65943748715
2023-06-28,79495.81960136654
2023-06-29,81856.86759788754
2023-06-30,83556.6443007684
2023-07-03,83654.4035260115
2023-07-05,81530.48820466141
2023-07-06,79660.91149017125
2023-07-07,79683.48000976353
2023-07-10,81886.36290618686
2023-07-11,83056.76068057987
2023-07-12,84648.58732929203
2023-07-13,85411.25754108402
2023-07-14,84195.26425113651
2023-07-17,86941.28958835575
2023-07-18,87288.55938275106
2023-07-19,87674.4176650153
2023-07-20,88416.05345679386
2023-07-21,88305.56325675113
2023-07-24,89912.22119284733
2023-07-25,89354.34928656681
2023-07-26,88903.21730185612
2023-07-27,88687.09498326675
2023-07-28,89453.39104479196
2023-07-31,90238.89361589792
2023-08-01,91353.7293558843
2023-08-02,89039.1760068966
2023-08-03,88763.26403038441
2023-08-04,89225.07596962391
2023-08-07,90030.23447411
2023-08-08,89320.76826088368
2023-08-09,87835.38613121449
2023-08-10,87772.70562736927
2023-08-11,87678.173089023
2023-08-14,88408.8689584688
2023-08-15,87489.32937335527
2023-08-16,86491.7968225435
2023-08-17,85833.49317248099
2023-08-18,85356.72082842307
2023-08-21,85356.72082842307
2023-08-22,84470.32798706257
2023-08-23,84990.59791504109
2023-08-24,84307.25721661138
2023-08-25,84250.64030376959
2023-08-28,83831.7936472095
2023-08-29,85252.38899938235
2023-08-30,85374.38918248782
2023-08-31,84516.39626495626
2023-09-01,85710.14476196554
2023-09-05,83206.53730194358
2023-09-06,83001.04446277411
2023-09-07,83981.17616138251
2023-09-08,83605.26978274125
2023-09-11,84467.2425152852
2023-09-12,81681.38192606557
2023-09-13,80648.61934519399
2023-09-14,81071.81187270723
2023-09-15,78306.92155014684
2023-09-18,79082.29284113711
2023-09-19,78296.96507471865
2023-09-20,77130.82616633242
2023-09-21,73803.7739358514
2023-09-22,74175.95889526301
2023-09-25,74261.88131195003
2023-09-26,72732.17589141791
2023-09-27,72473.86907868886
2023-09-28,72473.86907868886
2023-09-29,72081.54037797882
2023-10-02,72575.85098588897
2023-10-03,72087.75973833038
2023-10-04,72613.99277055694
2023-10-05,72436.49875200226
2023-10-06,71032.98739974119
2023-10-09,71032.98739974119
2023-10-10,71032.98739974119
2023-10-11,71032.98739974119
2023-10-12,71032.98739974119
2023-10-13,70493.46786849119
2023-10-16,70588.50693099119
2023-10-17,71037.30868880369
2023-10-18,70930.74716536619
2023-10-19,70828.50693099119
2023-10-20,70119.06845442869
2023-10-23,70092.66611067869
2023-10-24,70051.86728255369
2023-10-25,69621.5354474546
2023-10-26,68383.15940711544
2023-10-27,68571.12022254513
2023-10-30,69305.33042762325
2023-10-31,69383.64768836544
2023-11-01,70740.08860728468
2023-11-02,71618.53819224561
2023-11-03,73164.49516246046
2023-11-06,73786.86014675922
2023-11-07,74452.84150051899
2023-11-08,74544.35492062397
2023-11-09,74435.93679165668
2023-11-10,78050.69264315146
2023-11-13,77771.56910799521
2023-11-14,79944.1162729122
2023-11-15,80631.59207366
2023-11-16,80353.2264044095
2023-11-17,81138.16941283236
2023-11-20,82067.93602965365
2023-11-21,80902.89532386829
2023-11-22,81306.99433052112
2023-11-24,81033.50295173694
2023-11-27,81126.75587379505
2023-11-28,80812.43433296253
2023-11-29,81392.55024635364
2023-11-30,81920.82964241077
2023-12-01,83037.6306168848
2023-12-04,80537.1541840845
2023-12-05,79931.91035626466
2023-12-06,79360.08569737212
2023-12-07,80101.83530064361
2023-12-08,81612.9894754483
2023-12-11,81837.10746403472
2023-12-12,84461.87695713775
2023-12-13,85637.58855076568
2023-12-14,86527.5540122265
2023-12-15,87331.00858681145
2023-12-18,87759.80399550735
2023-12-19,89490.17813338577
2023-12-20,85640.18249739944
2023-12-21,89137.58609999953
2023-12-22,88776.48665084182
2023-12-26,90060.01459731399
2023-12-27,90729.55414482257
2023-12-28,90642.77981468341
2023-12-29,89556.35730644366
2024-01-02,85581.79105984358
2024-01-03,86164.73985914292
2024-01-04,84192.22408978285
2024-01-05,85654.20674053968
2024-01-08,87086.04936138929
2024-01-09,87329.6307515467
2024-01-10,88884.12311833748
2024-01-11,87163.21690648445
2024-01-12,87712.5204114283
2024-01-16,88490.24524205574
2024-01-17,87083.62919515022
2024-01-18,88953.66965382942
2024-01-19,90863.39787175253
2024-01-22,89891.89450322249
2024-01-23,92342.05267576217
2024-01-24,94626.33268935638
2024-01-25,97638.41033370452
2024-01-26,98931.71020705657
2024-01-29,101013.10019881683
2024-01-30,101172.82901198821
2024-01-31,94884.74984980888
2024-02-01,99200.26693155622
2024-02-02,103085.9955271733
2024-02-05,103132.22982171108
2024-02-06,102093.75766137172
2024-02-07,101978.13128135931
2024-02-08,101773.76017870086
2024-02-09,101148.72403062957
2024-02-12,102251.20323290008
2024-02-13,99570.40070458881
2024-02-14,100076.32438012592
2024-02-15,99506.58503076069
2024-02-16,98919.34127375676
2024-02-20,98194.23647401111
2024-02-21,98350.52166077869
2024-02-22,99234.91811082141
2024-02-23,99716.0505151488
2024-02-26,99857.76165384804
2024-02-27,101625.86106717047
2024-02-28,101765.24668017022
2024-02-29,102091.05626574151
2024-03-01,103938.21282280853
2024-03-04,104610.77219382695
2024-03-05,104116.13982383184
2024-03-06,105309.4075850623
2024-03-07,107187.75891868047
2024-03-08,106249.38857261113
2024-03-11,106891.0892409461
2024-03-12,107258.17368308477
2024-03-13,106865.68239585332
2024-03-14,105017.12621299199
2024-03-15,105405.2312544959
2024-03-18,103663.5002211707
2024-03-19,103376.9029038317
2024-03-20,105721.42208412955
2024-03-21,106749.1427522404
2024-03-22,108190.09062821696
